Start Time,Date Asked,Weekday Guessed [0-6],Guessed Correctly [T/F],Time [s],Feedback Status
2020-07-16 18:49:13.385000,1847-01-05 19:10:02,2,True,4.928,True
2020-07-29 00:28:50.548000,1943-06-27 01:23:49,2,False,0.32,True
2020-07-29 00:28:53.204000,1933-08-03 01:07:20,2,False,0.64,True
2020-07-29 00:28:54.516000,1913-05-21 22:54:09,2,False,0.128,True
2020-07-29 00:28:54.903000,1846-03-20 07:40:53,2,False,0.064,True
2020-07-29 00:28:55.201000,1834-04-22 19:22:23,2,True,0.064,True
2020-07-29 00:28:55.504000,2005-07-04 06:42:25,2,False,0,True
2020-07-29 01:18:44.666000,1838-10-10 07:26:50,2,False,0.704,True
2020-07-29 01:44:15.290000,1848-10-26 17:49:26,3,False,0.576,True
2020-07-29 01:44:16.739000,1928-02-15 17:00:52,2,False,0.384,True
2020-07-29 01:44:17.613000,1948-03-09 16:27:10,5,False,0.256,True
2020-07-29 01:44:18.444000,1896-09-14 15:30:23,2,False,1.6,True
2020-07-29 01:45:20.555000,2016-03-05 19:43:28,3,False,0.512,True
2020-07-29 01:45:21.787000,1937-05-20 18:28:31,2,False,0.512,True
2020-07-29 01:45:32.950000,1941-07-13 15:14:25,3,False,0.384,True
2020-07-29 01:45:33.935000,2005-12-17 12:56:36,1,False,0.192,True
2020-07-29 01:45:34.732000,1824-09-29 05:06:05,4,False,0.192,True
2020-07-29 01:45:35.494000,1823-07-12 09:35:08,2,False,0.064,True
2020-07-29 01:45:36.114000,2015-05-31 08:25:24,2,False,0.128,True
2020-07-29 01:45:36.485000,1963-09-21 18:25:23,2,False,0.128,True
2020-07-29 01:45:36.829000,1982-04-05 08:30:19,2,False,0.128,True
2020-07-29 01:45:37.149000,1966-01-02 06:22:40,2,False,0.064,True
2020-07-29 01:45:37.412000,1841-11-11 04:59:20,2,False,0,True
2020-07-29 01:45:37.670000,1979-03-02 14:13:58,2,False,0,True
2020-07-29 01:45:38.788000,1807-10-06 19:23:51,2,True,0,True
2020-07-29 01:45:39.043000,1966-06-26 07:51:48,2,False,0,True
